ts_ms,best_bid,best_ask,bid_size,ask_size
1765686387572,90263.0000000000,90263.1000000000,0.863000,3.422000
1765686387582,90263.0000000000,90263.1000000000,1.161000,3.422000
1765686387663,90263.0000000000,90263.1000000000,1.227000,3.422000
1765686387672,90263.0000000000,90263.1000000000,1.216000,3.422000
1765686387682,90263.0000000000,90263.1000000000,1.227000,3.422000
1765686387693,90263.0000000000,90263.1000000000,1.307000,3.422000
1765686387713,90263.0000000000,90263.1000000000,1.312000,3.422000
1765686387773,90263.0000000000,90263.1000000000,1.342000,3.422000
1765686387782,90263.0000000000,90263.1000000000,1.343000,3.422000
1765686388022,90263.0000000000,90263.1000000000,1.342000,3.422000
1765686388692,90263.0000000000,90263.1000000000,1.337000,3.422000
1765686388803,90263.0000000000,90263.1000000000,1.326000,3.422000
1765686388812,90263.0000000000,90263.1000000000,1.337000,3.422000
1765686388852,90263.0000000000,90263.1000000000,1.326000,3.422000
1765686388863,90263.0000000000,90263.1000000000,1.337000,3.422000
1765686389032,90263.0000000000,90263.1000000000,1.326000,3.422000
1765686389042,90263.0000000000,90263.1000000000,1.337000,3.422000
1765686389072,90263.0000000000,90263.1000000000,1.337000,2.722000
1765686389362,90263.0000000000,90263.1000000000,1.326000,2.722000
1765686389372,90263.0000000000,90263.1000000000,1.337000,2.722000
1765686389672,90263.0000000000,90263.1000000000,1.326000,2.722000
1765686389682,90263.0000000000,90263.1000000000,1.337000,2.722000
1765686389862,90263.0000000000,90263.1000000000,1.552000,2.722000
1765686389952,90263.0000000000,90263.1000000000,1.541000,2.722000
1765686389962,90263.0000000000,90263.1000000000,1.552000,2.722000
1765686390012,90263.0000000000,90263.1000000000,1.541000,2.722000
1765686390022,90263.0000000000,90263.1000000000,1.552000,2.722000
1765686390042,90263.0000000000,90263.1000000000,1.552000,2.723000
1765686390082,90263.0000000000,90263.1000000000,1.552000,2.717000
1765686390222,90263.0000000000,90263.1000000000,1.417000,2.717000
1765686390303,90263.0000000000,90263.1000000000,1.414000,2.717000
1765686390412,90263.0000000000,90263.1000000000,1.334000,2.717000
1765686390512,90263.0000000000,90263.1000000000,1.334000,2.716000
1765686391023,90263.0000000000,90263.1000000000,0.710000,2.753000
1765686391052,90263.0000000000,90263.1000000000,0.732000,2.753000
1765686391062,90263.0000000000,90263.1000000000,0.710000,2.753000
1765686391072,90263.0000000000,90263.1000000000,0.301000,2.753000
1765686391082,90263.0000000000,90263.1000000000,0.483000,2.753000
1765686391112,90263.0000000000,90263.1000000000,0.594000,2.753000
1765686391172,90263.0000000000,90263.1000000000,0.892000,2.753000
1765686391323,90263.0000000000,90263.1000000000,0.505000,2.753000
1765686391332,90263.0000000000,90263.1000000000,0.483000,2.753000
1765686391382,90263.0000000000,90263.1000000000,0.260000,2.753000
1765686391392,90263.0000000000,90263.1000000000,0.697000,2.753000
1765686391404,90263.0000000000,90263.1000000000,0.446000,2.753000
1765686391412,90263.0000000000,90263.1000000000,0.201000,2.753000
1765686391422,90263.0000000000,90263.1000000000,0.102000,2.753000
1765686391452,90263.0000000000,90263.1000000000,0.091000,2.753000
1765686391462,90263.0000000000,90263.1000000000,0.091000,2.922000
1765686391472,90263.0000000000,90263.1000000000,0.092000,2.922000
1765686391482,90263.0000000000,90263.1000000000,0.091000,2.922000
1765686391502,90263.0000000000,90263.1000000000,0.069000,2.922000
1765686391512,90263.0000000000,90263.1000000000,0.447000,2.924000
1765686391543,90263.0000000000,90263.1000000000,0.447000,3.481000
1765686391582,90263.0000000000,90263.1000000000,0.447000,3.647000
1765686391632,90263.0000000000,90263.1000000000,0.447000,3.090000
1765686391704,90263.0000000000,90263.1000000000,0.447000,2.921000
1765686391712,90263.0000000000,90263.1000000000,0.447000,2.925000
1765686392412,90263.0000000000,90263.1000000000,0.481000,2.925000
1765686392442,90263.0000000000,90263.1000000000,0.481000,2.759000
1765686392562,90263.0000000000,90263.1000000000,0.541000,2.759000
1765686392672,90263.0000000000,90263.1000000000,0.950000,2.759000
1765686392752,90263.0000000000,90263.1000000000,0.950000,2.755000
1765686392812,90263.0000000000,90263.1000000000,0.938000,2.755000
1765686393032,90263.0000000000,90263.1000000000,0.640000,2.755000
1765686393532,90263.0000000000,90263.1000000000,0.541000,2.755000
1765686393603,90263.0000000000,90263.1000000000,0.541000,2.754000
1765686393682,90263.0000000000,90263.1000000000,0.529000,2.754000
1765686393903,90263.0000000000,90263.1000000000,0.481000,2.754000
1765686393952,90263.0000000000,90263.1000000000,0.592000,2.754000
1765686393963,90263.0000000000,90263.1000000000,0.677000,2.754000
1765686394004,90263.0000000000,90263.1000000000,0.640000,2.754000
1765686394172,90263.0000000000,90263.1000000000,0.652000,2.754000
1765686394352,90263.0000000000,90263.1000000000,0.640000,2.754000
1765686395352,90263.0000000000,90263.1000000000,0.652000,2.754000
1765686396102,90263.0000000000,90263.1000000000,0.640000,2.762000
1765686396322,90263.0000000000,90263.1000000000,0.481000,2.762000
1765686396352,90263.0000000000,90263.1000000000,0.481000,2.931000
1765686396433,90263.0000000000,90263.1000000000,0.481000,3.097000
1765686399672,90263.0000000000,90263.1000000000,0.481000,3.079000
1765686400432,90263.0000000000,90263.1000000000,0.481000,2.910000
1765686400442,90263.0000000000,90263.1000000000,0.827000,2.910000
1765686400462,90263.0000000000,90263.1000000000,0.827000,2.908000
1765686400502,90263.0000000000,90263.1000000000,0.529000,2.908000
1765686400512,90263.0000000000,90263.1000000000,0.551000,2.908000
1765686400522,90263.0000000000,90263.1000000000,0.529000,2.908000
1765686400552,90263.0000000000,90263.1000000000,0.529000,2.742000
1765686400632,90263.0000000000,90263.1000000000,0.529000,2.744000
1765686400642,90263.0000000000,90263.1000000000,0.529000,2.742000
1765686400652,90263.0000000000,90263.1000000000,0.529000,2.744000
1765686400712,90263.0000000000,90263.1000000000,0.551000,2.744000
1765686400722,90263.0000000000,90263.1000000000,0.529000,2.742000
1765686400743,90263.0000000000,90263.1000000000,0.551000,2.742000
1765686400752,90263.0000000000,90263.1000000000,0.529000,2.742000
1765686400792,90263.0000000000,90263.1000000000,0.872000,2.742000
1765686400872,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686400932,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686400942,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686400952,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401022,90263.0000000000,90263.1000000000,0.904000,2.742000
1765686401052,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401072,90263.0000000000,90263.1000000000,0.904000,2.742000
1765686401082,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401142,90263.0000000000,90263.1000000000,0.904000,2.742000
1765686401152,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401232,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401263,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401272,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401304,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401313,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401322,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401343,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401352,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401404,90263.0000000000,90263.1000000000,0.882000,2.744000
1765686401412,90263.0000000000,90263.1000000000,0.882000,2.742000
1765686401452,90263.0000000000,90263.1000000000,0.491000,2.742000
1765686401482,90263.0000000000,90263.1000000000,0.491000,2.908000
1765686401502,90263.0000000000,90263.1000000000,0.491000,3.077000
1765686401522,90263.0000000000,90263.1000000000,0.491000,3.079000
1765686401592,90263.0000000000,90263.1000000000,0.491000,3.077000
1765686401602,90263.0000000000,90263.1000000000,0.491000,3.079000
1765686401612,90263.0000000000,90263.1000000000,0.491000,3.077000
1765686401812,90263.0000000000,90263.1000000000,0.491000,3.079000
1765686401832,90263.0000000000,90263.1000000000,0.539000,3.079000
1765686401883,90263.0000000000,90263.1000000000,0.529000,3.079000
1765686401892,90263.0000000000,90263.1000000000,0.529000,3.077000
1765686401902,90263.0000000000,90263.1000000000,0.529000,3.079000
1765686401912,90263.0000000000,90263.1000000000,0.529000,3.077000
1765686401922,90263.0000000000,90263.1000000000,1.303000,3.077000
1765686401932,90263.0000000000,90263.1000000000,1.281000,3.077000
1765686402083,90263.0000000000,90263.1000000000,1.391000,3.077000
1765686402093,90263.0000000000,90263.1000000000,1.093000,3.077000
1765686402112,90263.0000000000,90263.1000000000,1.093000,3.079000
1765686402162,90263.0000000000,90263.1000000000,0.639000,3.079000
1765686402172,90263.0000000000,90263.1000000000,0.639000,3.077000
1765686402203,90263.0000000000,90263.1000000000,0.639000,3.079000
1765686402212,90263.0000000000,90263.1000000000,0.639000,3.077000
1765686402392,90263.0000000000,90263.1000000000,0.639000,3.079000
1765686402402,90263.0000000000,90263.1000000000,0.639000,3.077000
1765686402412,90263.0000000000,90263.1000000000,0.639000,3.079000
1765686402472,90263.0000000000,90263.1000000000,0.639000,3.077000
1765686402503,90263.0000000000,90263.1000000000,0.639000,3.079000
1765686402512,90263.0000000000,90263.1000000000,0.639000,3.077000
1765686402692,90263.0000000000,90263.1000000000,0.639000,2.910000
1765686402732,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686402742,90263.0000000000,90263.1000000000,0.639000,2.910000
1765686402762,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686402972,90263.0000000000,90263.1000000000,0.639000,2.910000
1765686402982,90263.0000000000,90263.1000000000,0.651000,2.910000
1765686403032,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686403042,90263.0000000000,90263.1000000000,0.639000,2.910000
1765686403052,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686403062,90263.0000000000,90263.1000000000,0.651000,2.910000
1765686403072,90263.0000000000,90263.1000000000,0.651000,2.908000
1765686403102,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686403112,90263.0000000000,90263.1000000000,0.651000,2.908000
1765686403122,90263.0000000000,90263.1000000000,0.639000,2.908000
1765686403183,90263.0000000000,90263.1000000000,0.639000,2.742000
1765686403232,90263.0000000000,90263.1000000000,0.676000,2.742000
1765686403272,90263.0000000000,90263.1000000000,0.676000,2.744000
1765686403352,90263.0000000000,90263.1000000000,0.676000,2.742000
1765686403562,90263.0000000000,90263.1000000000,0.676000,2.744000
1765686403603,90263.0000000000,90263.1000000000,0.676000,2.742000
1765686403612,90263.0000000000,90263.1000000000,0.676000,2.744000
1765686403653,90263.0000000000,90263.1000000000,0.676000,2.742000
1765686403773,90263.0000000000,90263.1000000000,0.676000,2.750000
1765686403782,90263.0000000000,90263.1000000000,0.639000,2.750000
1765686403862,90263.0000000000,90263.1000000000,0.639000,2.752000
1765686403932,90263.0000000000,90263.1000000000,0.639000,2.750000
1765686404042,90263.0000000000,90263.1000000000,0.639000,2.916000
1765686404132,90263.0000000000,90263.1000000000,0.639000,2.918000
1765686404143,90263.0000000000,90263.1000000000,0.639000,2.916000
1765686404152,90263.0000000000,90263.1000000000,0.639000,2.918000
1765686404212,90263.0000000000,90263.1000000000,0.639000,2.916000
1765686404223,90263.0000000000,90263.1000000000,0.639000,2.918000
1765686404232,90263.0000000000,90263.1000000000,0.639000,2.916000
1765686404442,90263.0000000000,90263.1000000000,0.639000,2.918000
1765686404452,90263.0000000000,90263.1000000000,0.398000,2.918000
1765686404512,90263.0000000000,90263.1000000000,0.398000,2.916000
1765686404712,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686404722,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686404732,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686404812,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686404823,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686404832,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405022,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405032,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405042,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405072,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405103,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405112,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405292,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405302,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405312,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405372,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405382,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405392,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405403,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405412,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405592,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405603,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405612,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405672,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405682,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405692,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405703,90263.0000000000,90263.1000000000,0.446000,2.918000
1765686405712,90263.0000000000,90263.1000000000,0.446000,2.916000
1765686405832,90263.0000000000,90263.1000000000,1.002000,2.750000
1765686405842,90263.0000000000,90263.1000000000,1.457000,2.750000
1765686405873,90263.0000000000,90263.1000000000,1.592000,2.750000
1765686405932,90263.0000000000,90263.1000000000,1.658000,2.750000
1765686406022,90263.0000000000,90263.1000000000,1.663000,2.750000
1765686406383,90263.0000000000,90263.1000000000,1.528000,2.750000
1765686406803,90263.0000000000,90263.1000000000,1.418000,2.750000
1765686407013,90263.0000000000,90263.1000000000,1.423000,2.750000
1765686407652,90263.0000000000,90263.1000000000,1.647000,2.713000
1765686407722,90263.0000000000,90263.1000000000,2.089000,1.633000
1765686407733,90263.0000000000,90263.1000000000,2.090000,1.633000
1765686407932,90263.0000000000,90263.1000000000,2.090000,1.792000
1765686408053,90263.0000000000,90263.1000000000,2.010000,1.792000
1765686408383,90263.0000000000,90263.1000000000,2.010000,1.802000
1765686408943,90263.0000000000,90263.1000000000,2.010000,1.777000
1765686408993,90263.0000000000,90263.1000000000,2.120000,1.777000
1765686409012,90263.0000000000,90263.1000000000,2.010000,1.777000
1765686409663,90263.0000000000,90263.1000000000,2.010000,1.657000
1765686410223,90263.0000000000,90263.1000000000,2.010000,1.777000
1765686410372,90263.0000000000,90263.1000000000,2.010000,1.657000
1765686410512,90263.0000000000,90263.1000000000,2.010000,1.777000
1765686410682,90263.0000000000,90263.1000000000,2.010000,1.814000
1765686410804,90263.0000000000,90263.1000000000,2.010000,1.777000
1765686411013,90263.0000000000,90263.1000000000,2.015000,1.777000
1765686411492,90263.0000000000,90263.1000000000,2.015000,1.802000
1765686411522,90263.0000000000,90263.1000000000,1.905000,1.882000
1765686412923,90263.0000000000,90263.1000000000,1.915000,1.882000
1765686414012,90263.0000000000,90263.1000000000,1.920000,1.882000
1765686414022,90263.0000000000,90263.1000000000,1.920000,1.857000
1765686414033,90263.0000000000,90263.1000000000,1.920000,1.737000
1765686414042,90263.0000000000,90263.1000000000,1.920000,1.857000
1765686414393,90263.0000000000,90263.1000000000,2.022000,1.857000
1765686415013,90263.0000000000,90263.1000000000,2.027000,1.857000
1765686415882,90263.0000000000,90263.1000000000,2.007000,1.857000
1765686416372,90263.0000000000,90263.1000000000,2.117000,1.857000
1765686416442,90263.0000000000,90263.1000000000,2.007000,1.857000
1765686418843,90263.0000000000,90263.1000000000,2.007000,1.882000
